# omega normalized_positive_A_imp_smooth
-2.355889724310777034e+00 2.033019444850876246e-03
-2.342105263157894690e+00 2.060733171149494673e-03
-2.328320802005012347e+00 2.089039182878547809e-03
-2.314536340852130447e+00 2.117954990260761863e-03
-2.300751879699248104e+00 2.147498770286172375e-03
-2.286967418546366204e+00 2.177689397929121525e-03
-2.273182957393483861e+00 2.208546479104748095e-03
-2.259398496240601517e+00 2.240090385477613941e-03
-2.245614035087719174e+00 2.272342291243448307e-03
-2.231829573934837274e+00 2.305324212014007567e-03
-2.218045112781954931e+00 2.339059045944818799e-03
-2.204260651629073031e+00 2.373570617256199906e-03
-2.190476190476190688e+00 2.408883722309437207e-03
-2.176691729323308344e+00 2.445024178412517901e-03
-2.162907268170426001e+00 2.482018875543402434e-03
-2.149122807017543657e+00 2.519895831193600787e-03
-2.135338345864661758e+00 2.558684248550914097e-03
-2.121553884711779414e+00 2.598414578257729306e-03
-2.107769423558897515e+00 2.639118584000359549e-03
-2.093984962406015171e+00 2.680829412205781252e-03
-2.080200501253132828e+00 2.723581666144883704e-03
-2.066416040100250484e+00 2.767411484766224995e-03
-2.052631578947368585e+00 2.812356626611489923e-03
-2.038847117794486241e+00 2.858456559193651558e-03
-2.025062656641604342e+00 2.905752554251435707e-03
-2.011278195488721998e+00 2.954287789329494446e-03
-1.997493734335839655e+00 3.004107456172940786e-03
-1.983709273182957533e+00 3.055258876468028295e-03
-1.969924812030075190e+00 3.107791625508194659e-03
-1.956140350877193068e+00 3.161757664416832599e-03
-1.942355889724310947e+00 3.217211481615687638e-03
-1.928571428571428603e+00 3.274210244291100858e-03
-1.914786967418546482e+00 3.332813960680322193e-03
-1.901002506265664138e+00 3.393085654077358359e-03
-1.887218045112782017e+00 3.455091549543327922e-03
-1.873433583959899895e+00 3.518901274400899198e-03
-1.859649122807017552e+00 3.584588073697274942e-03
-1.845864661654135430e+00 3.652229041936568693e-03
-1.832080200501253309e+00 3.721905372511660152e-03
-1.818295739348370965e+00 3.793702626409376985e-03
-1.804511278195488844e+00 3.867711021922881284e-03
-1.790726817042606722e+00 3.944025747283559126e-03
-1.776942355889724379e+00 4.022747298323798952e-03
-1.763157894736842257e+00 4.103981843504560072e-03
-1.749373433583959914e+00 4.187841618890571910e-03
-1.735588972431077792e+00 4.274445355934941224e-03
-1.721804511278195671e+00 4.363918745247855231e-03
-1.708020050125313327e+00 4.456394939875591224e-03
